"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Perubahan%"
"31/07/2024","6,889","6,923","6,923","6,889","-0,48%"
"30/07/2024","6,922","6,912","6,938","6,912","0,16%"
"29/07/2024","6,911","6,973","6,973","6,911","-0,75%"
"26/07/2024","6,963","6,972","7,018","6,959","-0,11%"
"25/07/2024","6,971","6,989","7,010","6,971","-0,24%"
"24/07/2024","6,988","7,004","7,022","6,988","-0,23%"
"23/07/2024","7,004","6,988","7,008","6,988","0,21%"
"22/07/2024","6,989","6,950","7,002","6,950","0,60%"
"19/07/2024","6,947","6,900","6,947","6,900","0,68%"
"18/07/2024","6,900","6,904","6,963","6,899","-0,06%"
"17/07/2024","6,904","6,927","6,927","6,903","-0,30%"
"16/07/2024","6,925","6,957","6,966","6,924","-0,47%"
"15/07/2024","6,958","6,927","6,979","6,927","0,40%"
"12/07/2024","6,930","6,983","6,984","6,929","-0,76%"
"11/07/2024","6,983","7,016","7,029","6,983","-0,46%"
"10/07/2024","7,015","7,060","7,060","7,015","-0,51%"
"09/07/2024","7,051","7,031","7,051","7,031","0,28%"
"08/07/2024","7,031","7,059","7,059","7,002","-0,21%"
"05/07/2024","7,046","7,067","7,072","7,032","-0,31%"
"04/07/2024","7,068","7,094","7,098","7,063","-0,37%"
"03/07/2024","7,094","7,112","7,123","7,093","-0,24%"
"02/07/2024","7,111","7,069","7,113","7,068","0,61%"
"01/07/2024","7,068","7,044","7,088","7,044","0,20%"
"28/06/2024","7,054","7,087","7,087","7,051","-0,48%"
"27/06/2024","7,088","7,082","7,139","7,082","0,08%"
"26/06/2024","7,082","7,067","7,113","7,067","0,21%"
"25/06/2024","7,067","7,096","7,115","7,067","-0,42%"
"24/06/2024","7,097","7,117","7,128","7,096","-0,25%"
"21/06/2024","7,115","7,144","7,186","7,115","-0,41%"
"20/06/2024","7,144","7,094","7,147","7,094","0,70%"
"19/06/2024","7,094","7,220","7,243","7,093","-0,64%"
"14/06/2024","7,140","6,963","7,209","6,963","2,54%"
"13/06/2024","6,963","7,022","7,030","6,962","-0,84%"
"12/06/2024","7,022","7,021","7,022","7,017","0,01%"
"11/06/2024","7,021","6,982","7,028","6,982","0,59%"
"10/06/2024","6,980","6,925","6,982","6,905","1,04%"
"07/06/2024","6,908","6,920","6,925","6,897","-0,16%"
"06/06/2024","6,919","6,926","6,927","6,911","-0,09%"
"05/06/2024","6,925","6,878","6,928","6,871","0,71%"
"04/06/2024","6,876","6,913","6,913","6,839","-0,51%"
"03/06/2024","6,911","6,953","6,953","6,911","-0,27%"
"31/05/2024","6,930","6,947","6,948","6,929","-0,24%"
"30/05/2024","6,947","6,933","6,988","6,933","0,22%"
"29/05/2024","6,932","6,896","6,950","6,896","0,52%"
"28/05/2024","6,896","6,886","6,919","6,885","0,15%"
"27/05/2024","6,886","6,837","6,921","6,837","0,64%"
"22/05/2024","6,842","6,884","6,896","6,841","-0,60%"
"21/05/2024","6,883","6,883","6,917","6,880","0,00%"
"20/05/2024","6,883","6,808","6,887","6,802","1,19%"
"17/05/2024","6,802","6,761","6,802","6,761","0,59%"
"16/05/2024","6,762","6,862","6,880","6,761","-2,45%"
"15/05/2024","6,932","6,969","6,996","6,914","-0,52%"
"14/05/2024","6,968","7,035","7,053","6,968","-0,95%"
"13/05/2024","7,035","6,981","7,062","6,972","0,90%"
"08/05/2024","6,972","6,944","6,978","6,944","0,42%"
"07/05/2024","6,943","6,880","6,946","6,880","0,92%"
"06/05/2024","6,880","6,995","6,995","6,866","-1,57%"
"03/05/2024","6,990","7,155","7,155","6,988","-2,29%"
"02/05/2024","7,154","7,274","7,274","7,153","-1,57%"
"30/04/2024","7,268","7,236","7,272","7,234","0,40%"
"29/04/2024","7,239","7,192","7,329","7,192","0,44%"
"26/04/2024","7,207","7,122","7,214","7,122","1,19%"
"25/04/2024","7,122","7,083","7,139","7,076","0,62%"
"24/04/2024","7,078","7,054","7,102","6,986","0,34%"
"23/04/2024","7,054","7,077","7,077","7,043","-0,32%"
"22/04/2024","7,077","7,052","7,078","7,044","0,48%"
"19/04/2024","7,043","6,909","7,057","6,909","1,92%"
"18/04/2024","6,910","6,976","6,976","6,909","-0,96%"
